       sentence_id                        word    Tag
0              704                     Zambian  B-gpe
1              704                   officials      O
2              704                         say      O
3              704                     reports      O
4              704                        that      O
5              704                   President  B-per
6              704                        Levy  I-per
7              704                   Mwanawasa  I-per
8              704                         has      O
9              704                        died      O
10             704                         are      O
11             704                       FALSE      O
12             704                           .      O
13            1528                     English  B-gpe
14            1528                         and      O
15            1528                       Irish  B-gpe
16            1528                   colonists      O
17            1528                        from      O
18            1528                         St.  B-geo
19            1528                       Kitts  I-geo
20            1528                       first      O
21            1528                     settled      O
22            1528                          on      O
23            1528                  Montserrat  B-geo
24            1528                          in      O
25            1528                        1632  B-tim
26            1528                           ;      O
27            1528                         the      O
28            1528                       first      O
29            1528                     African  B-gpe
30            1528                      slaves      O
31            1528                     arrived      O
32            1528                       three  B-tim
33            1528                     decades  I-tim
34            1528                       later  I-tim
35            1528                           .      O
36            1723                          He      O
37            1723                        said      O
38            1723                          in      O
39            1723                           a      O
40            1723                   statement      O
41            1723                        that      O
42            1723                          he      O
43            1723                          is      O
44            1723                      deeply      O
45            1723                   concerned      O
46            1723                          by      O
47            1723                   continued      O
48            1723                     threats      O
49            1723                     against      O
50            1723                        U.N.  B-org
51            1723                   personnel      O
52            1723                         and      O
53            1723                          by      O
54            1723                     reports      O
55            1723                        that      O
56            1723                        more      O
57            1723                     violent      O
58            1723                    protests      O
59            1723                         and      O
60            1723                     attacks      O
61            1723                         are      O
62            1723                       being      O
63            1723                     planned      O
64            1723                           .      O
65            1893                         The      O
66            1893                     largest      O
67            1893                        U.S.  B-geo
68            1893                    supplier      O
69            1893                          of      O
70            1893                       parts      O
71            1893                         for      O
72            1893                         the      O
73            1893                  automotive      O
74            1893                    industry      O
75            1893                         has      O
76            1893                       filed      O
77            1893                         for      O
78            1893                  bankruptcy      O
79            1893                  protection      O
80            1893                           .      O
81            1650                          To      O
82            1650                         the      O
83            1650                       north      O
84            1650                           ,      O
85            1650                          in      O
86            1650                       Mosul  B-geo
87            1650                           ,      O
88            1650                   witnesses      O
89            1650                         say      O
90            1650                       three      O
91            1650                       Iraqi  B-gpe
92            1650                   civilians      O
93            1650                        were      O
94            1650                      killed      O
95            1650                        when      O
96            1650                           a      O
97            1650                        U.S.  B-geo
98            1650                  helicopter      O
99            1650                       fired      O
100           1650                          on      O
101           1650                  insurgents      O
102           1650                           .      O
103            917                         The      O
104            917                       draft      O
105            917                        plan      O
106            917                           ,      O
107            917                        seen      O
108            917                          by      O
109            917                   reporters      O
